,Name,Address,City.State,ZIP,Sites,Url,House district,Senate district,FullstreetAddress,latitude,longitude,County,state
1,Channel View,"5150 Taft Road,","Clay Township, MI",48001,303,https://www.mhvillage.com/parks/15713,63,12,"5150 Taft Road, Clay Township, MI 48001",42.631775,-82.57992403,Saint Clair County,Michigan
2,Algonac Mobile Home Park,"3812 Pointe Tremble Road,","Algonac, MI",48001,30,https://www.mhvillage.com/parks/15513,63,12,"3812 Pointe Tremble Road, Algonac, MI 48001",42.62064899,-82.56050903,Saint Clair County,Michigan
3,Thorn Hollow Mobile Home Park,"9600 Nook Road,","Algonac, MI",48001,45,https://www.mhvillage.com/parks/15511,63,12,"9600 Nook Road, Algonac, MI 48001",42.62109398,-82.55324703,Saint Clair County,Michigan
4,Kingsbrook Estates,"4600 N. Van Dyke Road,","Almont, MI",48003,232,https://www.mhvillage.com/parks/443,65,24,"4600 N. Van Dyke Road, Almont, MI 48003",42.92635598,-83.052773,Lapeer County,Michigan
5,Hunters Crossing,"150 Hunters Crossing Boulevard,","Capac, MI",48014,114,https://www.mhvillage.com/parks/30614,65,25,"150 Hunters Crossing Boulevard, Capac, MI 48014",43.00597199,-82.92632202,Saint Clair County,Michigan
6,The Shores of Anchor Bay,"7061 Bethuy Road,","Fair Haven, MI",48023,659,https://www.mhvillage.com/parks/15512,63,12,"7061 Bethuy Road, Fair Haven, MI 48023",42.69552101,-82.70515796,Saint Clair County,Michigan
7,Admirals Cove Senior Living,"10415 Le Grande Blvd,","Fair Haven, MI",48023,114,https://www.mhvillage.com/parks/106208,63,12,"10415 Le Grande Blvd, Fair Haven, MI 48023",42.69420919,-82.70877554,Saint Clair County,Michigan
8,Northpointe Shores,"10431 Dixie Highway,","Fair Haven, MI",48023,12,https://www.mhvillage.com/parks/15928,63,12,"10431 Dixie Highway, Fair Haven, MI 48023",42.688387,-82.706201,Saint Clair County,Michigan
9,Sunrise Mobile Home Park,"5690 Harris Road,","Jeddo, MI",48032,48,https://www.mhvillage.com/parks/15501,64,25,"5690 Harris Road, Jeddo, MI 48032",43.14208501,-82.56934799,Saint Clair County,Michigan
10,Sun Communities,"27777 Franklin Rd #200,","Southfield, MI",48034,NA,https://www.mhvillage.com/parks/108446,19,7,"27777 Franklin Rd #200, Southfield, MI 48034",42.48995299,-83.29891396,Oakland County,Michigan
11,Southfield Mobile Home Park,"21301 Telegraph Road,","Southfield, MI",48034,190,https://www.mhvillage.com/parks/15074,18,7,"21301 Telegraph Road, Southfield, MI 48034",42.447558,-83.279851,Oakland County,Michigan
12,Silver Springs,"43600 Park Drive West,","Clinton Township, MI",48036,547,https://www.mhvillage.com/parks/37937,61,12,"43600 Park Drive West, Clinton Township, MI 48036",42.61608102,-82.87659596,Macomb County,Michigan
13,Rudgate Clinton,"20475 Foster Drive,","Clinton Township, MI",48036,667,https://www.mhvillage.com/parks/302,61,11,"20475 Foster Drive, Clinton Township, MI 48036",42.57932298,-82.91596299,Macomb County,Michigan
14,Parkway Village LLC,"23500 South Keystone Way,","Clinton Township, MI",48036,242,https://www.mhvillage.com/parks/15090,61,12,"23500 South Keystone Way, Clinton Township, MI 48036",42.61239001,-82.86909399,Macomb County,Michigan
15,Windsor Farms,"23680 Sandpiper Drive,","Clinton Township, MI",48036,620,https://www.mhvillage.com/parks/220,61,12,"23680 Sandpiper Drive, Clinton Township, MI 48036",42.61478799,-82.86708602,Macomb County,Michigan
16,River's Edge,"38000 Le Chateau Blvd,","Clinton Township, MI",48038,1000,https://www.mhvillage.com/parks/15046,61,11,"38000 Le Chateau Blvd, Clinton Township, MI 48038",42.57572299,-82.95883601,Macomb County,Michigan
17,Shangri La Mobile Home Community,"6900 South River Road,","Marine City, MI",48039,270,https://www.mhvillage.com/parks/15324,63,25,"6900 South River Road, Marine City, MI 48039",42.69472699,-82.51873203,Saint Clair County,Michigan
18,Tag-A-Long Mobile Court,"6609 River Road,","Marine City, MI",48039,NA,https://www.mhvillage.com/parks/15499,63,25,"6609 River Road, Marine City, MI 48039",42.69795302,-82.50452504,Saint Clair County,Michigan
19,Seaway Mobile Home Ranch,"50 Mack Avenue,","Marysville, MI",48040,156,https://www.mhvillage.com/parks/339,64,25,"50 Mack Avenue, Marysville, MI 48040",42.887652,-82.478028,Saint Clair County,Michigan
20,Marysville Senior Living,"3333 Ravenswood Road,","Marysville, MI",48040,230,https://www.mhvillage.com/parks/321,64,25,"3333 Ravenswood Road, Marysville, MI 48040",42.93308598,-82.46470404,Saint Clair County,Michigan
21,Clinton River,"4125 Riverview Circle,","Mount Clemens, MI",48043,132,https://www.mhvillage.com/parks/186,61,12,"4125 Riverview Circle, Mount Clemens, MI 48043",42.59619801,-82.86172797,Macomb County,Michigan
22,Westbrook,"45013 Catalpa Blvd.,","Macomb, MI",48044,NA,https://www.mhvillage.com/parks/126708,60,11,"45013 Catalpa Blvd., Macomb, MI 48044",42.629617,-82.90161502,Macomb County,Michigan
23,Camelot Villa,"17111 Hall Road,","Macomb, MI",48044,712,https://www.mhvillage.com/parks/15094,60,11,"17111 Hall Road, Macomb, MI 48044",42.63001099,-82.94957702,Macomb County,Michigan
24,Westbridge Manor,"45301 Chateau Thierry Blvd.,","Macomb, MI",48044,1446,https://www.mhvillage.com/parks/251,60,11,"45301 Chateau Thierry Blvd., Macomb, MI 48044",42.631372,-82.90456101,Macomb County,Michigan
25,Willow Point,"43400 Lenfesty Drive,","Harrison Township, MI",48045,284,https://www.mhvillage.com/parks/33956,62,12,"43400 Lenfesty Drive, Harrison Township, MI 48045",42.61325502,-82.85860404,Macomb County,Michigan
26,Blue Sky Mobile Home Village,"36530 Jefferson Avenue,","Harrison Township, MI",48045,132,https://www.mhvillage.com/parks/15045,62,12,"36530 Jefferson Avenue, Harrison Township, MI 48045",42.56566098,-82.84004801,Macomb County,Michigan
27,Lakeside Trailer Park,"27860 Hickler Lane,","Harrison Township, MI",48045,24,https://www.mhvillage.com/parks/15143,62,12,"27860 Hickler Lane, Harrison Township, MI 48045",42.566743,-82.83801599,Macomb County,Michigan
28,Harrison Court Co-op,"43301 Summit,","Harrison Township, MI",48045,131,https://www.mhvillage.com/parks/16037,62,12,"43301 Summit, Harrison Township, MI 48045",42.61316198,-82.85959201,Macomb County,Michigan
29,Lakeshore Village Mobile Home Park,"35922 East Jefferson,","Harrison Township, MI",48045,NA,https://www.mhvillage.com/parks/15142,62,12,"35922 East Jefferson, Harrison Township, MI 48045",42.56049702,-82.84843,Macomb County,Michigan
30,Lakeview Trailer Court,"37111 Main Street,","New Baltimore, MI",48047,NA,https://www.mhvillage.com/parks/15144,63,12,"37111 Main Street, New Baltimore, MI 48047",42.685172,-82.72760503,Macomb County,Michigan
31,Millstone Pond,"37781 Sandstone Trail,","Lenox, MI",48048,263,https://www.mhvillage.com/parks/32594,65,25,"37781 Sandstone Trail, Lenox, MI 48048",42.7421,-82.8027,Macomb County,Michigan
32,Riverbrook,"59477 Hardy Lane,","New Haven, MI",48048,390,https://www.mhvillage.com/parks/224,65,25,"59477 Hardy Lane, New Haven, MI 48048",42.73902799,-82.78428598,Macomb County,Michigan
33,Meadow Creek,"58701 Meadow Creek Boulevard,","New Haven, MI",48048,433,https://www.mhvillage.com/parks/35462,65,25,"58701 Meadow Creek Boulevard, New Haven, MI 48048",42.73253298,-82.77890697,Macomb County,Michigan
34,Quail Run,"33099 Willow,","Lenox, MI",48048,340,https://www.mhvillage.com/parks/15914,65,25,"33099 Willow, Lenox, MI 48048",42.72325698,-82.77822301,Macomb County,Michigan
35,Pine Crest Estates,"30086 Pineview Circle,","Chesterfield, MI",48051,214,https://www.mhvillage.com/parks/31376,63,12,"30086 Pineview Circle, Chesterfield, MI 48051",42.688185,-82.80594397,Macomb County,Michigan
36,Fairchild Lake,"49645 Au Lac Road,","Chesterfield, MI",48051,300,https://www.mhvillage.com/parks/15138,63,12,"49645 Au Lac Road, Chesterfield, MI 48051",42.66603402,-82.85606298,Macomb County,Michigan
37,Carriage Way,"29800 Guilford Circle,","Chesterfield, MI",48051,798,https://www.mhvillage.com/parks/222,63,12,"29800 Guilford Circle, Chesterfield, MI 48051",42.68492,-82.80987601,Macomb County,Michigan
38,Evergreen Meadows,"24 Mile Rd,","Chesterfield, MI",48051,NA,https://www.mhvillage.com/parks/105896,63,12,"24 Mile Rd, Chesterfield, MI 48051",42.65443793,-82.8507777,Macomb County,Michigan
39,River's Edge a Quiet Community,"60 Hathaway Street,","East China, MI",48054,41,https://www.mhvillage.com/parks/15502,63,25,"60 Hathaway Street, East China, MI 48054",42.806671,-82.488096,Saint Clair County,Michigan
40,Indian Trail North,"3650 Metcalf Road,","Burtchville, MI",48059,496,https://www.mhvillage.com/parks/319,64,25,"3650 Metcalf Road, Burtchville, MI 48059",43.08308567,-82.48497639,Saint Clair County,Michigan
41,Birchwood Estates,"4333 24th Avenue,","Fort Gratiot, MI",48059,195,https://www.mhvillage.com/parks/15895,64,25,"4333 24th Avenue, Fort Gratiot, MI 48059",43.03407634,-82.4564549,Saint Clair County,Michigan
42,Birchwood Estates West,"3211 Keewahdin Rd,","Fort Gratiot, MI",48059,147,https://www.mhvillage.com/parks/72122,64,25,"3211 Keewahdin Rd, Fort Gratiot, MI 48059",43.03624701,-82.46514501,Saint Clair County,Michigan
43,Brandymore Pines,"4400 Kraft Road,","Fort Gratiot, MI",48059,192,https://www.mhvillage.com/parks/15984,64,25,"4400 Kraft Road, Fort Gratiot, MI 48059",43.025308,-82.51020604,Saint Clair County,Michigan
